cohort	base_specification	node	model	target	contrast	n	p_design	coefficient	se	t	residual_df	ci_lo	ci_hi	raw_p	direction	residual_sd	d	d_ci_lo	d_ci_hi	coefficient_boot_ci_lo	coefficient_boot_ci_hi	bootstrap_attempts	bootstrap_valid	diagnostic_permutations	permutation_p	interpretability
TCGA-UCEC	no_purity	histology_matched	base_refit	PAX8	C2	506	6	-1.2305445509215409	0.62810382618755012	-1.9591419437621824	500	-2.4645925982213761	0.0035034963782942796	0.050651467979093728	negative	4.8248560146963255	-0.25504275094911633	-0.5284934951121909	0.007376279296563034	-2.5283026374063589	0.035754939408459904	2000	2000	2000	0.029985007496251874	PASS
TCGA-UCEC	no_purity	histology_matched	base_plus_binary_histology	PAX8	C2	506	7	-1.1641640994330571	0.61647850795440851	-1.8884098705986885	499	-2.3753775429233208	0.047049344057206843	0.059550722157838736	negative	4.7342042745305264	-0.2459049149391643	-0.49700106324865406	0.026122036890810271	-2.3257043059860938	0.12371089687554611	2000	2000	2000	0.042478760619690158	PASS
TCGA-UCEC	no_purity	histology_matched	base_refit	LHX1	C2	506	6	-0.90609692029500355	0.40369365364694076	-2.2445161376934863	500	-1.6992418498748287	-0.11295199071517836	0.02523574550305693	negative	3.1010219516026005	-0.29219300425356065	-0.52855203020468156	-0.065995930652269705	-1.613918429590012	-0.2029912437013329	2000	2000	2000	0.010994502748625687	PASS
TCGA-UCEC	no_purity	histology_matched	base_plus_binary_histology	LHX1	C2	506	7	-0.8660098423722995	0.39716634810245272	-2.180471347861789	499	-1.6463342396004359	-0.085685445144163208	0.029688960730284535	negative	3.0500116364565386	-0.28393656995303068	-0.51545068430247232	-0.046454465238296529	-1.5532950280940121	-0.14652503915892229	2000	2000	2000	0.013993003498250875	PASS
TCGA-UCEC	no_purity	endometrioid_grade_matched	base_refit	GATA2	C2	381	6	-4.0061442593339933	1.0758709983055716	-3.7236288231985206	375	-6.1216403350148738	-1.8906481836531133	0.00022653032304947247	negative	7.848860077482648	-0.51041096666089092	-0.83294747734758534	-0.21021078104125376	-6.3442648944708289	-1.6343742028291892	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	no_purity	endometrioid_grade_matched	base_plus_binary_grade	GATA2	C2	381	7	-3.2583602794693176	1.0870108320179852	-2.9975416835730355	374	-5.3957792269627722	-1.120941331975863	0.002903431307480807	negative	7.7505802901495606	-0.42040210635717989	-0.74136409915562396	-0.12940082141615925	-5.6131825191048463	-0.98716484034879282	2000	2000	2000	0.00099950024987506244	PASS
TCGA-UCEC	no_purity	endometrioid_grade_matched	base_refit	SOX9	C2	381	6	-4.6954628699776721	1.0790058807439136	-4.3516564216873554	375	-6.8171230968499845	-2.5738026431053593	1.744421156818502e-05	negative	7.8717301554535721	-0.59649692980451485	-0.8835729515426991	-0.33448165127382362	-6.7073130421719149	-2.6913955612203027	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	no_purity	endometrioid_grade_matched	base_plus_binary_grade	SOX9	C2	381	7	-4.2166130386587231	1.0992656431744336	-3.8358453799047938	374	-6.3781289544548025	-2.0550971228626436	0.00014682949971448576	negative	7.8379592702029095	-0.53797332868119929	-0.82166165299538518	-0.27502200950850653	-6.2498299451907506	-2.1825728933431781	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	no_purity	endometrioid_grade_matched	base_refit	HOXA9	C2	381	6	-2.9311544833108236	0.67254589331697467	-4.3582966046442779	375	-4.2535883069459262	-1.6087206596757213	1.6948172899559261e-05	negative	4.906460552096072	-0.59740712315695987	-0.88212249390137021	-0.32711143591296438	-4.231127591596513	-1.6470397956976708	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	no_purity	endometrioid_grade_matched	base_plus_binary_grade	HOXA9	C2	381	7	-2.7604420548186677	0.68778120461577452	-4.0135468028103132	374	-4.1128449335889741	-1.4080391760483613	7.2276263361105802e-05	negative	4.9040021418499942	-0.56289576859306056	-0.86906879957807226	-0.28092659209489862	-4.0798516890008765	-1.388987273359384	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	no_purity	endometrioid_grade_matched	base_refit	WT1	C2	381	6	-5.7738795845513815	1.3504677075764266	-4.2754666047611671	375	-8.4293179597944494	-3.1184412093083131	2.4226037301452689e-05	negative	9.8521403519751658	-0.58605332225030971	-0.87659336653902287	-0.29849209111684644	-8.3678475224832791	-2.9311306001267403	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	no_purity	endometrioid_grade_matched	base_plus_binary_grade	WT1	C2	381	7	-5.8813588873203431	1.3833491378915606	-4.2515361640984208	374	-8.6014759010937958	-3.1612418735468912	2.6848407174829499e-05	negative	9.8635250420028182	-0.59627352921751342	-0.89726436653752228	-0.3330501336612684	-8.5954983269542478	-3.2943582968930047	2000	2000	2000	0.00049975012493753122	PASS
TCGA-UCEC	no_purity	endometrioid_grade_matched	base_refit	PAX8	C2	381	6	-1.0656647311742007	0.6531964261861225	-1.6314613620842884	375	-2.3500515009837963	0.21872203863539474	0.10363247924982118	negative	4.7652993345122763	-0.22363017648360811	-0.50433668206161353	0.046129364377553696	-2.3729179128515145	0.21433432789602816	2000	2000	2000	0.070464767616191901	PASS
TCGA-UCEC	no_purity	endometrioid_grade_matched	base_plus_binary_grade	PAX8	C2	381	7	-0.92437244826009324	0.66832978170960089	-1.3831082701350375	374	-2.2385274654169325	0.38978256889674601	0.16745679107592704	negative	4.7653100418714924	-0.19397949769015702	-0.47286121020955296	0.074122757181893734	-2.2065396396122252	0.35081219121404111	2000	2000	2000	0.11594202898550725	PASS
TCGA-UCEC	no_purity	endometrioid_grade_matched	base_refit	LHX1	C2	381	6	-0.93877391497653395	0.40573356284811946	-2.3137694313150785	375	-1.7365719421833554	-0.14097588776971259	0.021220394108846619	negative	2.9599700787072605	-0.31715655564549988	-0.57801393724795858	-0.052061889335643804	-1.6728465451622676	-0.14842839434225172	2000	2000	2000	0.013993003498250875	PASS
TCGA-UCEC	no_purity	endometrioid_grade_matched	base_plus_binary_grade	LHX1	C2	381	7	-0.83950893533628745	0.41497890250579766	-2.0230159419358884	374	-1.655493231812236	-0.023524638860339064	0.043782491814825061	negative	2.9588732769280406	-0.28372588372824192	-0.5561659715380235	-0.011823300383771577	-1.6014063748376006	-0.035173209596472584	2000	2000	2000	0.023988005997001498	PASS
