module	gene	membership	status	reason	composition_signature	source
M1	SLC14A1	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	SLC1A3	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	SLC25A13	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	SLC34A2	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	SLC4A7	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	SLFN5	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	SLPI	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	SORBS2	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	SOX17	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	SOX5	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	SOX6	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	SOX9	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	SPOCK3	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	SPON1	source	EXCLUDED_analysis_ready	composition-overlap ESTIMATE (stromal)	stromal	SI_geneset
M1	SPPL2B	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	SRGAP3	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
M1	ST14	source	INCLUDED_analysis_ready	fetal-Mullerian-epithelial derived member (E-MTAB-15475)		E-MTAB-15475-derived
